"Date,Building,Water Consumption,Electricity Consumption,Gas Consumption"
"2017-03-01,B1001,291541,33016,4121"
"2017-03-01,B1002,302640,25906,4903"
"2017-03-01,B1003,278921,50251,5203"
"2017-03-01,B1004,299227,29326,3741"
"2017-03-01,B1005,258578,44384,4314"
"2017-03-01,B1006,338161,48107,3558"
"2017-03-01,B1007,251457,44420,3923"
"2017-03-01,B1008,501733,29602,3271"
"2017-03-01,B1009,247573,47470,3368"
"2017-03-01,B1010,280484,51962,3163"
"2017-04-01,B1000,445895,26134,4828"
"2017-04-01,B1001,443616,37039,3241"
"2017-04-01,B1002,372563,39344,4306"
"2017-04-01,B1003,483156,41699,4891"
"2017-04-01,B1004,480885,31622,3592"
"2017-04-01,B1005,492266,28065,5576"
"2017-04-01,B1006,305817,25474,3622"
"2017-04-01,B1007,238050,52836,3437"
"2017-04-01,B1008,479701,42615,4675"
"2017-04-01,B1009,436555,47985,3003"
"2017-04-01,B1010,327550,45645,4202"
"2017-05-01,B1000,400459,42927,4602"
"2017-05-01,B1001,417942,38484,5121"
"2017-05-01,B1002,433014,41338,5807"
"2017-05-01,B1003,428365,24455,3593"
"2017-05-01,B1004,239647,46809,5356"
"2017-05-01,B1005,386528,37586,3003"
"2017-05-01,B1006,232887,38616,5061"
"2017-05-01,B1007,279506,44179,5627"
"2017-05-01,B1008,447839,35980,4838"
"2017-05-01,B1009,475120,41177,4054"
"2017-05-01,B1010,232731,29558,3731"
"2017-06-01,B1000,256415,26536,5405"
"2017-06-01,B1001,306248,48186,4858"
"2017-06-01,B1002,288169,43250,5487"
"2017-06-01,B1003,373418,43392,4364"
"2017-06-01,B1004,248569,39142,5611"
"2017-06-01,B1005,377542,39261,5087"
"2017-06-01,B1006,293433,36082,5732"
"2017-06-01,B1007,235658,47847,4691"
"2017-06-01,B1008,405014,53347,5868"
"2017-06-01,B1009,263134,27128,3534"
"2017-06-01,B1010,448821,37972,5498"
"2017-07-01,B1000,378241,25116,4404"
"2017-07-01,B1001,327286,26522,4859"
"2017-07-01,B1002,416264,25068,5473"
"2017-07-01,B1003,223103,35724,6009"
"2017-07-01,B1004,244114,40158,4781"
"2017-07-01,B1005,314616,24991,5322"
"2017-07-01,B1006,498064,39088,4529"
"2017-07-01,B1007,459377,28915,4855"
"2017-07-01,B1008,405549,46296,3997"
"2017-07-01,B1009,404183,33902,3600"
"2017-07-01,B1010,386113,48935,3282"
"2017-08-01,B1000,397450,31581,3636"
"2017-08-01,B1001,304031,39229,3103"
"2017-08-01,B1002,434191,40757,4832"
"2017-08-01,B1003,215402,28075,4456"
"2017-08-01,B1004,305006,49354,4612"
"2017-08-01,B1005,485495,36467,3186"
"2017-08-01,B1006,399785,29888,3447"
"2017-08-01,B1007,263031,53798,4504"
"2017-08-01,B1008,399613,47786,5419"
"2017-08-01,B1009,222840,52952,3647"
"2017-08-01,B1010,421375,34192,3944"
"2017-09-01,B1000,382610,45488,5258"
"2017-09-01,B1001,327447,53676,5504"
"2017-09-01,B1002,231127,29900,4384"
"2017-09-01,B1003,416047,53016,4334"
"2017-09-01,B1004,428191,47199,6054"
"2017-09-01,B1005,242689,42843,3138"
"2017-09-01,B1006,361825,50274,3488"
"2017-09-01,B1007,503577,50791,5944"
"2017-09-01,B1008,256625,53255,5351"
"2017-09-01,B1009,421940,53855,4575"
"2017-09-01,B1010,400656,28360,4460"
"2017-10-01,B1000,265102,30711,5460"
"2017-10-01,B1001,493238,50511,4098"
"2017-10-01,B1002,500052,27283,5135"
"2017-10-01,B1003,497034,49526,5633"
"2017-10-01,B1004,448594,32220,3202"
"2017-10-01,B1005,439347,40119,5624"
"2017-10-01,B1006,444025,32346,6053"
"2017-10-01,B1007,226282,54628,4216"
"2017-10-01,B1008,252302,53463,3767"
"2017-10-01,B1009,230359,30591,5541"
"2017-10-01,B1010,223858,39172,4542"
"2017-11-01,B1000,451139,32487,4232"
"2017-11-01,B1001,463735,50832,4849"
"2017-11-01,B1002,287182,52451,4452"
"2017-11-01,B1003,477842,37016,3830"
"2017-11-01,B1004,479899,44109,6124"
"2017-11-01,B1005,297837,51408,6123"
"2017-11-01,B1006,206565,31765,5479"
"2017-11-01,B1007,315269,35281,3585"
"2017-11-01,B1008,422862,53349,5399"
"2017-11-01,B1009,402553,35793,3296"
"2017-11-01,B1010,488702,34123,5055"
"2017-12-01,B1000,408382,48235,4382"
"2017-12-01,B1001,467255,29308,4630"
"2017-12-01,B1002,212446,34246,5066"
"2017-12-01,B1003,470151,45344,3858"
"2017-12-01,B1004,491868,41297,4335"
"2017-12-01,B1005,364166,36509,4282"
"2017-12-01,B1006,362301,43152,3663"
"2017-12-01,B1007,494593,26755,5415"
"2017-12-01,B1008,342740,27683,4881"
"2017-12-01,B1009,216605,50862,4171"
"2017-12-01,B1010,251507,37589,3666"
"2018-01-01,B1000,464783,55215,4309"
"2018-01-01,B1001,456404,53903,4130"
"2018-01-01,B1002,207228,32793,4910"
"2018-01-01,B1003,207659,34506,3381"
"2018-01-01,B1004,286626,54471,5335"
"2018-01-01,B1005,282898,28800,5016"
"2018-01-01,B1006,409029,25906,3496"
"2018-01-01,B1007,324668,32620,4997"
"2018-01-01,B1008,489189,44220,5442"
"2018-01-01,B1009,390659,26116,6262"
"2018-01-01,B1010,351476,43525,5149"
"2018-02-01,B1000,470804,28002,5705"
"2018-02-01,B1001,444563,38619,5406"
"2018-02-01,B1002,295720,26153,3550"
"2018-02-01,B1003,359388,54179,4668"
"2018-02-01,B1004,448275,43190,6334"
"2018-02-01,B1005,489440,45556,5656"
"2018-02-01,B1006,444066,46082,4524"
"2018-02-01,B1007,290750,47509,3947"
"2018-02-01,B1008,474855,37918,4553"
"2018-02-01,B1009,466199,44258,4803"
"2018-02-01,B1010,306692,38885,5249"
"2018-03-01,B1000,493939,37293,5989"
"2018-03-01,B1001,260066,53365,5347"
"2018-03-01,B1002,348507,45601,5400"
"2018-03-01,B1003,468032,28289,4207"
"2018-03-01,B1004,447729,50335,6135"
"2018-03-01,B1005,369648,26230,4631"
"2018-03-01,B1006,430897,27402,5062"
"2018-03-01,B1007,262459,28042,5203"
"2018-03-01,B1008,258158,34519,5548"
"2018-03-01,B1009,246123,42440,5522"
"2018-03-01,B1010,234598,53252,4577"
"2018-04-01,B1000,486795,38407,6387"
"2018-04-01,B1001,338447,38527,5671"
"2018-04-01,B1002,327042,53935,4717"
"2018-04-01,B1003,364306,49276,5636"
"2018-04-01,B1004,426801,37271,5766"
"2018-04-01,B1005,424005,44684,4380"
"2018-04-01,B1006,505586,40545,5985"
"2018-04-01,B1007,365468,52106,3872"
"2018-04-01,B1008,505186,42330,6195"
"2018-04-01,B1009,478824,45451,4136"
"2018-04-01,B1010,271351,53800,5856"
"2018-05-01,B1000,241272,35861,5323"
"2018-05-01,B1001,353209,49063,6062"
"2018-05-01,B1002,427516,26348,5400"
"2018-05-01,B1003,488363,29206,5048"
"2018-05-01,B1004,218038,48891,4011"
"2018-05-01,B1005,374627,39937,3581"
"2018-05-01,B1006,250198,32336,4760"
"2018-05-01,B1007,500394,30591,5355"
"2018-05-01,B1008,499220,43927,5258"
"2018-05-01,B1009,272987,50930,5073"
"2018-05-01,B1010,226717,49713,4774"
"2018-06-01,B1000,420627,55665,6358"
"2018-06-01,B1001,491078,37307,5159"
"2018-06-01,B1002,332617,47224,5071"
"2018-06-01,B1003,387708,51817,4664"
"2018-06-01,B1004,220166,28002,4294"
"2018-06-01,B1005,426479,51301,5146"
"2018-06-01,B1006,226591,55774,3909"
"2018-06-01,B1007,218795,51116,5664"
"2018-06-01,B1008,489487,30838,4076"
"2018-06-01,B1009,282075,32325,4868"
"2018-06-01,B1010,505757,54232,3894"
"2018-07-01,B1000,308872,27574,5099"
"2018-07-01,B1001,276989,47635,5559"
"2018-07-01,B1002,288098,34208,5773"
"2018-07-01,B1003,433696,47436,6089"
"2018-07-01,B1004,405977,51630,6005"
"2018-07-01,B1005,383653,50413,4130"
"2018-07-01,B1006,494754,53082,5678"
"2018-07-01,B1007,502045,54714,6471"
"2018-07-01,B1008,441239,37720,4650"
"2018-07-01,B1009,209930,45551,6668"
"2018-07-01,B1010,214789,55133,5227"
"2018-08-01,B1000,497647,44195,4107"
"2018-08-01,B1001,287796,28967,3996"
"2018-08-01,B1002,303920,42135,4099"
"2018-08-01,B1003,287172,31595,6144"
"2018-08-01,B1004,383208,38249,5700"
"2018-08-01,B1005,231719,42088,4777"
"2018-08-01,B1006,495985,54285,6561"
"2018-08-01,B1007,478891,47605,5065"
"2018-08-01,B1008,406070,32296,6729"
"2018-08-01,B1009,264964,39041,5507"
"2018-08-01,B1010,348732,37989,3937"
"2018-09-01,B1000,337972,48414,4600"
"2018-09-01,B1001,343041,35897,5964"
"2018-09-01,B1002,343770,39232,4765"
"2018-09-01,B1003,439946,54626,4333"
"2018-09-01,B1004,423928,27309,6677"
"2018-09-01,B1005,410320,33666,5651"
"2018-09-01,B1006,209588,46242,5682"
"2018-09-01,B1007,215356,36477,4617"
"2018-09-01,B1008,213394,44717,6658"
"2018-09-01,B1009,228928,33863,6367"
"2018-09-01,B1010,229638,55009,4967"
"2018-10-01,B1000,384357,56530,4690"
"2018-10-01,B1001,477890,40897,6293"
"2018-10-01,B1002,326333,56329,5945"
"2018-10-01,B1003,469359,55647,4064"
"2018-10-01,B1004,213170,32700,6298"
"2018-10-01,B1005,356934,40147,4336"
"2018-10-01,B1006,465714,51671,5390"
"2018-10-01,B1007,209183,51132,4090"
"2018-10-01,B1008,327888,35833,5198"
"2018-10-01,B1009,213906,49976,6272"
"2018-10-01,B1010,326049,49572,5974"
"2018-11-01,B1000,426014,43069,6663"
"2018-11-01,B1001,286891,31598,5394"
"2018-11-01,B1002,467482,56726,5874"
"2018-11-01,B1003,500850,41440,3972"
"2018-11-01,B1004,302079,57541,6048"
"2018-11-01,B1005,352871,48045,4761"
"2018-11-01,B1006,292224,55455,4541"
"2018-11-01,B1007,240399,56392,4089"
"2018-11-01,B1008,338413,39153,5988"
"2018-11-01,B1009,380358,40375,4797"
"2018-11-01,B1010,244084,43037,4880"
"2018-12-01,B1000,372784,35967,4073"
"2018-12-01,B1001,236592,53307,6628"
"2018-12-01,B1002,365522,44632,6355"
"2018-12-01,B1003,299857,27827,4371"
"2018-12-01,B1004,480456,39682,5174"
"2018-12-01,B1005,322124,35956,4691"
"2018-12-01,B1006,413612,43343,4083"
"2018-12-01,B1007,424677,38026,6314"
"2018-12-01,B1008,482136,34518,6291"
"2018-12-01,B1009,289432,35348,5242"
"2018-12-01,B1010,209723,45156,4743"
"2019-01-01,B1000,228140,39154,5604"
"2019-01-01,B1001,378981,48636,6010"
"2019-01-01,B1002,498748,32239,5256"
"2019-01-01,B1003,490354,42751,4295"
"2019-01-01,B1004,329374,33900,5351"
"2019-01-01,B1005,272377,29414,4942"
"2019-01-01,B1006,409804,53583,4021"
"2019-01-01,B1007,417083,48320,6536"
"2019-01-01,B1008,362727,41778,6065"
"2019-01-01,B1009,415273,54328,6144"
"2019-01-01,B1010,267786,38437,5452"
"2019-02-01,B1000,420530,52264,5224"
"2019-02-01,B1001,443639,57211,4186"
"2019-02-01,B1002,264645,35953,6097"
"2019-02-01,B1003,436778,48239,7034"
"2019-02-01,B1004,307980,41143,6235"
"2019-02-01,B1005,486375,28748,4185"
"2019-02-01,B1006,317307,40489,4798"
"2019-02-01,B1007,214603,36057,6378"
"2019-02-01,B1008,375742,57809,5176"
"2019-02-01,B1009,213559,42614,4742"
"2019-02-01,B1010,503772,36338,6784"
"2019-03-01,B1000,272016,42188,5582"
"2019-03-01,B1001,488834,46358,7091"
"2019-03-01,B1002,404324,53213,6187"
"2019-03-01,B1003,209533,51166,6741"
"2019-03-01,B1004,312573,38498,4772"
"2019-03-01,B1005,278254,45906,5600"
"2019-03-01,B1006,331843,50186,4251"
"2019-03-01,B1007,264797,51313,6031"
"2019-03-01,B1008,501185,57470,5517"
"2019-03-01,B1009,504470,44325,4483"
"2019-03-01,B1010,433402,57596,6998"
"2019-04-01,B1000,362212,57204,5715"
"2019-04-01,B1001,393234,49235,4956"
"2019-04-01,B1002,292418,32118,5158"
"2019-04-01,B1003,361020,52789,5304"
"2019-04-01,B1004,372903,51970,6313"
"2019-04-01,B1005,227656,49633,5498"
"2019-04-01,B1006,291177,48179,5010"
"2019-04-01,B1007,300470,47161,4910"
"2019-04-01,B1008,394071,38383,5396"
"2019-04-01,B1009,316105,35132,5412"
"2019-04-01,B1010,459811,29185,6356"
"2019-05-01,B1000,228697,43337,6882"
"2019-05-01,B1001,455376,34736,7213"
"2019-05-01,B1002,233485,43301,5087"
"2019-05-01,B1003,277489,53787,6774"
"2019-05-01,B1004,347852,30824,6972"
"2019-05-01,B1005,422740,55755,6909"
"2019-05-01,B1006,405895,47146,5630"
"2019-05-01,B1007,317689,42539,5380"
"2019-05-01,B1008,293969,38654,4795"
"2019-05-01,B1009,226483,51402,5230"
"2019-05-01,B1010,380881,51980,4578"
"2019-06-01,B1000,236306,38618,6919"
"2019-06-01,B1001,502128,39206,5801"
"2019-06-01,B1002,319935,48613,6957"
"2019-06-01,B1003,366329,31432,6730"
"2019-06-01,B1004,483655,32921,4329"
"2019-06-01,B1005,349983,29654,6986"
"2019-06-01,B1006,425895,57500,5740"
"2019-06-01,B1007,432557,42334,5773"
"2019-06-01,B1008,294627,32600,7249"
"2019-06-01,B1009,209336,46415,5229"
"2019-06-01,B1010,309122,54813,6404"
"2019-07-01,B1000,316838,34073,6666"
"2019-07-01,B1001,479577,31398,5183"
"2019-07-01,B1002,358565,50731,6094"
"2019-07-01,B1003,252508,51921,6038"
"2019-07-01,B1004,348251,31368,6857"
"2019-07-01,B1005,259430,35974,6984"
"2019-07-01,B1006,466380,50555,5605"
"2019-07-01,B1007,362366,40083,6673"
"2019-07-01,B1008,252845,29909,5665"
"2019-07-01,B1009,427064,46903,6926"
"2019-07-01,B1010,408423,32128,7200"
"2019-08-01,B1000,215824,32747,5467"
"2019-08-01,B1001,363813,52722,6412"
"2019-08-01,B1002,300556,51146,6481"
"2019-08-01,B1003,352674,29656,5122"
"2019-08-01,B1004,264184,48705,4775"
"2019-08-01,B1005,244567,53815,4988"
"2019-08-01,B1006,435469,44565,4557"
"2019-08-01,B1007,258005,52090,5759"
"2019-08-01,B1008,384645,57213,5446"
"2019-08-01,B1009,240083,55128,5426"
"2019-08-01,B1010,484282,35221,7238"
"2019-09-01,B1000,373705,58150,7019"
"2019-09-01,B1001,445372,33686,7351"
"2019-09-01,B1002,284382,50385,5453"
"2019-09-01,B1003,245843,59519,6593"
"2019-09-01,B1004,369415,53877,6204"
"2019-09-01,B1005,473477,48070,6326"
"2019-09-01,B1006,253252,59522,5966"
"2019-09-01,B1007,277407,35276,5470"
"2019-09-01,B1008,471329,41094,7101"
"2019-09-01,B1009,286761,48372,5619"
"2019-09-01,B1010,412985,53976,7265"
"2019-10-01,B1000,490276,51677,6719"
"2019-10-01,B1001,324504,36415,6657"
"2019-10-01,B1002,306409,46616,6194"
"2019-10-01,B1003,293326,35855,6473"
"2019-10-01,B1004,249961,56681,4847"
"2019-10-01,B1005,320673,49616,5290"
"2019-10-01,B1006,306390,32782,6146"
"2019-10-01,B1007,280457,40681,5573"
"2019-10-01,B1008,458539,35108,5453"
"2019-10-01,B1009,329857,56335,5550"
"2019-10-01,B1010,340319,37434,7315"
"2019-11-01,B1000,389855,37260,6576"
"2019-11-01,B1001,339059,44054,4670"
"2019-11-01,B1002,258965,59091,6963"
"2019-11-01,B1003,236308,50550,5590"
"2019-11-01,B1004,456825,58332,5267"
"2019-11-01,B1005,304562,51652,5351"
"2019-11-01,B1006,250707,32352,4819"
"2019-11-01,B1007,230530,33793,5162"
"2019-11-01,B1008,292592,58132,7105"
"2019-11-01,B1009,498580,46656,6377"
"2019-11-01,B1010,399116,35443,7024"
"2019-12-01,B1000,223002,42292,5429"
"2019-12-01,B1001,318295,57947,4989"
"2019-12-01,B1002,314027,51023,5031"
"2019-12-01,B1003,501494,45974,5803"
"2019-12-01,B1004,360049,48434,7250"
"2019-12-01,B1005,337879,38611,4889"
"2019-12-01,B1006,296157,33938,4931"
"2019-12-01,B1007,319388,37106,4748"
"2019-12-01,B1008,251866,47079,5909"
"2019-12-01,B1009,280510,48134,5492"
"2019-12-01,B1010,443282,42027,5610"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
",,,,"
